APP,CATEGORY,DESCRIPTION,AUTH_METHODS,AUTH_EVIDENCE,ACCESS_MODEL,ACCESS_NOTES,ACCESS_EVIDENCE,API_TYPES,API_BREADTH,API_NOTES,API_EVIDENCE,MCP_STATUS,MCP_EVIDENCE,BUILDABILITY,MAIN_BLOCKER,CONFIDENCE,NEEDS_HUMAN_REVIEW,REVIEW_FLAGS,SOURCES,PIPELINE_VERSION,RESEARCH_DATE
Ahrefs,Data SEO and Scraping,"Ahrefs is an SEO toolset (backlinks, keywords, site audit) offering an API for programmatic data access.",API_KEY; OAUTH2,https://docs.ahrefs.com/,PAID,"Official docs note the older API v2 has been deprecated in favor of a new access model (Ahrefs Connect / API for Developers). A third-party report specifically tested API availability 'on a Standard plan' (not just Enterprise), suggesting it's not strictly enterprise-only, but this was not independently confirmed against an official pricing page in this pass -- API access requires an underlying paid Ahrefs subscription either way.",https://docs.ahrefs.com/en/ahrefs-connect/docs/how-it-works,REST,MODERATE,"Backlinks, keywords, site audit, and rank-tracking data -- exact current v3-era endpoint breadth not independently verified after the v2 deprecation.",https://docs.ahrefs.com/,UNCLEAR,,NEEDS_REVIEW,API recently migrated (v2 deprecated); current plan-tier requirements and full endpoint breadth not fully re-confirmed from official sources in this pass.,LOW,TRUE,API_UNCLEAR; CONDITIONAL_ACCESS; CONFLICTING_SOURCES; LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://docs.ahrefs.com/; https://ahrefs.com/api/subscription,v2,2026-09-16
Aircall,Communications and Messaging,"Aircall is a cloud call-center/phone platform with a REST API for calls, contacts, and users, and an OAuth integration flow.",OAUTH2; API_KEY,https://developer.aircall.io/tutorials/how-aircall-oauth-flow-works,SELF_SERVE_FREE,Developer portal and API references are public and self-serve for building integrations.,https://developers.aircall.io/api-references,REST,MODERATE,"Calls, contacts, numbers, users, and webhooks for call events.",https://developers.aircall.io/api-references,COMMUNITY,https://github.com/themobilefirstco/aircall-mcp-server,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://developer.aircall.io/tutorials/how-aircall-oauth-flow-works; https://developers.aircall.io/api-references,v2,2026-09-16
Airtable,Productivity and Project Management,"Airtable is a spreadsheet-database hybrid with a REST API for bases, tables, and records.",TOKEN; OAUTH2,https://airtable.com/developers/web/guides/personal-access-tokens,SELF_SERVE_FREE,"Personal access tokens are self-generated from account settings for any Airtable account, including the free plan.",https://support.airtable.com/articles/9934989703-creating-personal-access-tokens,REST,MODERATE,"Bases, tables, records, fields, and views -- scoped to the Airtable data model.",https://airtable.com/developers/web/guides/personal-access-tokens,OFFICIAL,https://www.airtable.com/articles/mcp-server-interfaces-automations; https://support.airtable.com/docs/using-the-airtable-mcp-server,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://airtable.com/developers/web/guides/personal-access-tokens; https://www.airtable.com/articles/mcp-server-interfaces-automations,v2,2026-09-16
Amazon Selling Partner,Ecommerce,"Amazon Selling Partner API (SP-API) lets developers manage listings, orders, and fulfillment for Amazon sellers/vendors.",OAUTH2,https://developer-docs.amazon.com/sp-api/docs/authorizing-selling-partner-api-applications,ADMIN_GATED,"Requires registering as an SP-API developer and registering an application through Seller Central; a private app works against the developer's own seller account fairly directly, but a public app (for other sellers to authorize) must go through Amazon's app approval/publishing process, and certain data categories require an additional Restricted Data Token grant. This is a multi-step, Amazon-gated flow rather than an open self-serve API key.",https://developer-docs.amazon.com/sp-api/docs/authorizing-selling-partner-api-applications,REST,BROAD,"Orders, listings, inventory, fulfillment, reports -- a large surface reflecting the full seller/vendor workflow.",https://developer-docs.amazon.com/sp-api/docs/authorizing-selling-partner-api-applications,COMMUNITY,https://www.datadoe.com/connect/amazon/mcp,FEASIBLE_WITH_SETUP,Public-app distribution and restricted-data access both require Amazon approval steps beyond basic developer registration.,LOW,TRUE,CONDITIONAL_ACCESS; LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://developer-docs.amazon.com/sp-api/docs/authorizing-selling-partner-api-applications; https://developer-docs.amazon.com/sp-api/docs/selling-partner-appstore-authorization-workflow,v2,2026-09-16
Apify,Data SEO and Scraping,"Apify is a web-scraping/automation platform (""Actors"" marketplace) with a REST API for running scrapers and retrieving datasets.",API_KEY; OAUTH2,https://docs.apify.com/api/v2/getting-started,SELF_SERVE_FREE,Free plan with usage credits is available on signup; API token is immediately visible in account settings.,https://apify.com/pricing,REST,BROAD,"Running Actors (scrapers/crawlers), managing datasets/key-value stores, webhooks, and a large marketplace of pre-built scrapers callable via API.",https://docs.apify.com/api/v2,OFFICIAL,https://docs.apify.com/integrations/mcp; https://github.com/apify/apify-mcp-server,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://docs.apify.com/api/v2/getting-started; https://docs.apify.com/integrations/mcp,v2,2026-09-16
Asana,Productivity and Project Management,"Asana is a work-management/task-tracking platform with a REST API for tasks, projects, and workspaces.",TOKEN; OAUTH2,https://developers.asana.com/docs/personal-access-token; https://developers.asana.com/docs/oauth,SELF_SERVE_FREE,"Personal access tokens are self-serve from account settings for any Asana account, including the free tier.",https://developers.asana.com/docs/authentication,REST,BROAD,"Tasks, projects, workspaces, portfolios, and goals.",https://developers.asana.com/docs/quick-start,OFFICIAL,https://developers.asana.com/docs/mcp-server; https://developers.asana.com/docs/using-asanas-mcp-server,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://developers.asana.com/docs/personal-access-token; https://developers.asana.com/docs/mcp-server,v2,2026-09-16
Attio,CRM and Sales,"Attio is a data-driven CRM with customizable objects and a REST API for records, lists, and workspace data.",API_KEY; OAUTH2; BASIC,https://docs.attio.com/rest-api/guides/authentication,SELF_SERVE_FREE,A single-workspace API key can be generated manually and used immediately; OAuth2 is available for multi-workspace apps. No sign-up gate found beyond having an Attio workspace.,https://docs.attio.com/rest-api/guides/authentication,REST,MODERATE,"Covers records, lists, objects/attributes, notes, and workspace members -- a real but narrower surface than the larger legacy CRMs.",https://docs.attio.com/rest-api/guides/authentication,OFFICIAL,https://docs.attio.com/mcp/overview,READY,,HIGH,FALSE,,https://docs.attio.com/rest-api/guides/authentication; https://docs.attio.com/mcp/overview,v2,2026-09-16
BigCommerce,Ecommerce,"BigCommerce is a SaaS ecommerce platform with a REST/GraphQL API for products, orders, and storefront data.",OAUTH2; API_KEY,https://developer.bigcommerce.com/api-docs/getting-started/basics/authentication; https://developer.bigcommerce.com/docs/start/authentication,SELF_SERVE_FREE,API accounts (legacy) or OAuth apps are created directly from the store control panel; free trial stores get full API access.,https://developer.bigcommerce.com/docs/start/authentication,REST; GRAPHQL,BROAD,"Products, orders, customers, carts, and a GraphQL Storefront API.",https://developer.bigcommerce.com/api-docs/getting-started/basics/authentication,COMMUNITY,https://apify.com/jupri/bigcommerce/api/mcp,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://developer.bigcommerce.com/api-docs/getting-started/basics/authentication,v2,2026-09-16
Binance,Finance and Fintech,"Binance is a cryptocurrency exchange with a REST API covering spot trading, wallets, margin, futures, and market data.",API_KEY,https://developers.binance.com/docs/binance-spot-api-docs/rest-api,SELF_SERVE_FREE,"API keys (HMAC, RSA, or Ed25519) are self-generated from the account's API Management page. Trading permission is a self-service toggle the account holder enables themselves; no vendor approval step.",https://developers.binance.com/docs/binance-spot-api-docs/rest-api,REST,BROAD,"Spot trading, futures, options, margin, wallet services, market data, and advanced order types across multiple base endpoints.",https://developers.binance.com/docs/binance-spot-api-docs/rest-api,COMMUNITY,https://github.com/nirholas/Binance-MCP; https://github.com/AnalyticAce/binance-mcp-server,READY,,HIGH,FALSE,,https://developers.binance.com/docs/binance-spot-api-docs/rest-api; https://developers.binance.com/docs/binance-spot-api-docs/faqs/api_key_types,v2,2026-09-16
Brex,Finance and Fintech,"Brex is a corporate card and spend-management platform with a REST API for expenses, cards, transactions, and bill pay.",TOKEN,https://developer.brex.com/guides/authentication,ADMIN_GATED,"User tokens can only be generated by signing in as an account admin or card admin, and the company must first accept Brex's developer API agreement before tokens can be issued.",https://developer.brex.com/guides/authentication,REST,MODERATE,"Expense management, user lookup, cards, banking transactions, and bill tracking.",https://developer.brex.com/guides/authentication,OFFICIAL,https://developer.brex.com/docs/mcp,FEASIBLE_WITH_SETUP,Requires account-admin access and formal acceptance of Brex's developer API agreement before API tokens can be issued.,HIGH,FALSE,,https://developer.brex.com/guides/authentication; https://developer.brex.com/docs/mcp,v2,2026-09-16
